artist,genres,followers,popularity
Naughty By Nature,"['east coast hip hop', 'hip hop', 'new jersey rap']",1181875,61
Justin Timberlake,"['dance pop', 'pop']",14578122,83
Carbonne,[],150994,65
Marlon Craft,['nyc rap'],172437,58
De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",1040247,61
Too $hort,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']",1583210,63
C4C,"['chillhop', 'lo-fi beats']",12797,51
Regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']",260974,69
KARINA,[],198549,42
Coldplay,"['permanent wave', 'pop']",53890376,92
Ana Mena,['spanish pop'],945548,70
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8099720,76
BANKS,"['art pop', 'electropop', 'indie poptimism', 'indietronica', 'shimmer pop']",1062743,58
Dinosaur Jr.,"['alternative rock', 'lo-fi', 'noise pop', 'noise rock', 'permanent wave', 'power pop', 'shoegaze', 'slacker rock']",549797,52
R. City,"['reggae fusion', 'virgin islands reggae']",170062,63
Conrad Sewell,['australian pop'],114972,63
Ziak,"['drill francais', 'french hip hop', 'pop urbaine']",1090369,63
Jorja Smith,"['r&b', 'uk contemporary r&b']",3477744,74
Rosendo Cantú Y Sus Comandantes De China,[],3523,23
Nile Rodgers,['disco'],150083,74
Elyanna,['palestinian pop'],215206,72
KIDDO,['scandipop'],28358,61
Jain,['french pop'],968415,64
DCS,"['dominican pop', 'electro bailando', 'electro latino']",61509,45
La Frontera,"['spanish new wave', 'spanish pop']",95466,43
Dirty Porko,"['rap espanol', 'spanish hip hop', 'urbano espanol']",63320,47
Xzibit,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",2100315,67
Dua Lipa,"['dance pop', 'pop', 'uk pop']",44795715,88
Ramos.,[],12105,58
Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']",7683360,81
Digable Planets,"['afrofuturism', 'east coast hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",439598,53
Imagine Dragons,"['modern rock', 'pop', 'rock']",54802787,89
El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",3669952,79
Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",11894760,90
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",359954,55
Jacob Forever,"['cubaton', 'reparto']",199703,58
The Cranberries,"['irish rock', 'pop rock', 'rock']",4548141,78
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",116408993,89
Yann Tiersen,"['compositional ambient', 'french soundtrack']",1051001,66
Slow J,['hip hop tuga'],232771,59
MC Rick,"['funk bh', 'funk carioca', 'funk mtg']",1535050,70
Olly Murs,"['dance pop', 'pop', 'talent show', 'uk pop']",3206191,66
Myles Smith,['singer-songwriter pop'],736021,79
Parliament,"['afrofuturism', 'classic soul', 'funk', 'funk rock', 'p funk', 'soul']",799721,51
Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",16677086,89
Miguel,"['r&b', 'urban contemporary']",5294396,80
Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",3047076,76
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7913308,87
Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",13383851,82
Mägo de Oz,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",4348414,70
Isaac Delusion,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",121113,53
SCH,"['french hip hop', 'pop urbaine', 'rap marseille']",2342191,73
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7753869,80
BM,[],83064,42
Souls Of Mischief,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']",334226,55
Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",11139356,79
Mister V,"['french hip hop', 'pop urbaine', 'rap francais']",588694,53
Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3733408,74
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",12673239,84
Crystal Fighters,['shimmer pop'],351558,51
Martin Kohlstedt,['neo-classical'],49328,44
Lacrim,"['arabic hip hop', 'french hip hop', 'pop urbaine']",2563049,71
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",34828695,88
Ja Rule,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",1933510,70
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",3843913,75
Sam Smith,"['pop', 'uk pop']",24372250,84
Outlawz,['gangster rap'],314969,67
Gracie Abrams,['alt z'],2619653,85
Alex Margo,[],1461,31
Baby Queen,['modern alternative pop'],130295,51
Stevie Wonder,"['motown', 'soul']",6609190,76
Ken-Y,['reggaeton'],360294,65
Bradley Simpson,[],24960,40
Sátyr,"['lo-fi beats', 'lo-fi jazzhop', 'lo-fi study']",5060,54
Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",413974,66
Morad,"['drill espanol', 'urbano espanol']",3534774,80
Cruza,['indie r&b'],46346,55
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7494388,79
María Escarmiento,['latin talent show'],49097,46
keshi,['chill r&b'],3735572,79
Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",7759876,79
Living Room,"['lo-fi jazzhop', 'lo-fi study']",16156,55
High John,"['lo-fi beats', 'lo-fi jazzhop']",6148,47
cassö,"['hypertechno', 'pop dance']",71668,70
Backstreet Boys,"['boy band', 'dance pop', 'pop']",5907020,78
The Kid LAROI,['australian hip hop'],5726013,85
Alphaville,"['new romantic', 'new wave pop', 'synthpop']",914487,73
Angèle,"['belgian pop', 'french pop', 'variete francaise']",2735144,68
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",5531246,76
Chris Brown,"['r&b', 'rap']",23580562,88
Alan Walker,['electro house'],39549165,82
Travis Scott,"['rap', 'slap house']",33496934,94
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8095997,87
Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2437437,71
Emma Nissen,[],74420,50
David Gilmour,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']",1936477,65
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28610194,84
Nil Moliner,['spanish pop'],253484,63
Laylow,"['cloud rap francais', 'french hip hop', 'pop urbaine']",806324,68
Shaboozey,"['modern country pop', 'pop rap']",709153,81
Leon Thomas,['indie r&b'],182765,65
Zach Bryan,['classic oklahoma country'],5242496,91
Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",9110727,74
Niños Mutantes,"['granada indie', 'musica para ninos', 'spanish indie pop', 'spanish modern rock']",91109,43
Fuego,"['electro latino', 'rap dominicano', 'trap latino']",275242,63
LISA,['k-pop'],9112952,82
AC/DC,"['australian rock', 'hard rock', 'rock']",29536730,84
iann dior,['melodic rap'],1863098,72
Dasha,[],233684,76
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",92432769,96
Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",1714489,63
The Alchemist,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",733717,73
