artist,name,date,time,venue,location,price_range
Linkin Park,In The End - The Linkin Park Experience,2024-10-11,19:00:00,The Masquerade - Hell,"Atlanta, United States Of America",25.0-25.0 USD
Linkin Park,In The End - Linkin Park Experience,2025-01-10,20:00:00,Club LA,"Destin, United States Of America",24.99-38.0 USD
Linkin Park,In The End: Linkin Park Experience,2025-01-11,20:00:00,Tuffy's Music Box,"Sanford, United States Of America",20.0-20.0 USD
Linkin Park,In The End - Linkin Park Experience - BALCONY SECTION,2025-01-24,18:00:00,Marquee Theatre,"Tempe, United States Of America",20.0-25.0 USD
Linkin Park,Tribute to Linkin Park + Tribute to Status Quo + Koyle,2024-11-23,20:00:00,Spirit of 66,"Verviers, Belgium",N/A
Linkin Park,"Holiday Rockstars Tribute Night to Nickelback, Creed, Breaking Benjamin, Linkin Park, & Godsmack",2024-12-20,18:30:00,The Forge,"Joliet, United States Of America",10.0-25.0 USD
Linkin Park,Linkin Park: From Zero World Tour,2024-11-15,15:00:00,Allianz Parque,"São Paulo, Brazil",N/A
Linkin Park,Linkin Park: From Zero World Tour,2024-11-16,15:00:00,Allianz Parque,"São Paulo, Brazil",N/A
Linkin Park,Nivrana - Tribute to Nirvana w/ The Linkin Park Tribute,2025-03-13,20:00:00,Canyon Club-CA,"Agoura Hills, United States Of America",N/A
*NSYNC,Pop 2000 Tour with Chris Kirkpatrick of *NSYNC,2024-11-17,19:00:00,The Paramount,"Huntington, United States Of America",35.0-65.0 USD
*NSYNC,"Pop 2000 Tour: Chris Kirkpatrick of *NSYNC, O-Town, Ryan Cabrera, LFO ",2024-10-26,20:00:00,Great Cedar Showroom at Foxwoods Resort Casino,"Ledyard, United States Of America",45.0-55.0 USD
*NSYNC,"BOY BAND REVIEW - Party Songs from NSYNC, BACKSTREET BOYS, NKOTB, ONE DIRECTION, JONAS BROTHERS, AND MORE!",2025-01-24,19:00:00,District 142,"Wyandotte, United States Of America",18.0-28.0 USD
Zion,Zion Train,2025-04-18,19:00:00,The Camden Assembly,"London, Great Britain",N/A
