artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Benson Boone,Benson Boone,17-01-2025,20:00:00,Festival Hall Melbourne,"West Melbourne, Australia",85.9-85.9 AUD,20241011,West Melbourne,Australia,51.54,51.54
Benson Boone,Benson Boone,22-01-2025,18:00:00,Riverstage ,"Brisbane, Australia",99.9-99.9 AUD,20241011,Brisbane,Australia,59.94,59.94
Benson Boone,Benson Boone,24-01-2025,19:00:00,Spark Arena,"Auckland, New Zealand",106.8-106.8 NZD,20241011,Auckland,New Zealand,60.88,60.88
Benson Boone,Benson Boone,14-10-2024,20:00:00,Walmart AMP,"Rogers, United States Of America",,20241011,Rogers,United States Of America,,
Benson Boone,Benson Boone,17-10-2024,20:00:00,Ascend Amp,"Nashville, United States Of America",,20241011,Nashville,United States Of America,,
Benson Boone,Benson Boone,19-10-2024,20:00:00,Virginia Credit Union LIVE!,"Richmond, United States Of America",,20241011,Richmond,United States Of America,,
Benson Boone,Benson Boone,02-11-2024,18:30:00,Vorst Nationaal/Forest National,"Vorst, Belgium",45.8-57.01 EUR,20241011,Vorst,Belgium,45.8,57.01
Benson Boone,Benson Boone,11-11-2024,20:00:00,,"Amsterdam, Netherlands",52.0-52.0 EUR,20241011,Amsterdam,Netherlands,52.0,52.0
Benson Boone,AO LIVE presents Benson Boone,23-01-2025,18:00:00,Melbourne Park,"Melbourne, Australia",139.0-139.0 AUD,20241011,Melbourne,Australia,83.4,83.4
Benson Boone,Benson Boone - Relocated to Riverstage on 22 January 2025,22-01-2025,18:00:00,The Tivoli,"Brisbane, Australia",74.9-74.9 AUD,20241011,Brisbane,Australia,44.94,44.94
Benson Boone,Alice 105.9s Alice in Winterland,05-12-2024,18:30:00,Fillmore Auditorium (Denver),"Denver, United States Of America",65.0-99.5 USD,20241011,Denver,United States Of America,61.75,94.52
Topic,DeLever APC Hot Topic Discussion Recording and Mind Maps,16-01-2024,21:30:00,,"N/A, N/A",N/A-N/A GBP,20241011,N/A,N/A,,
LOS NIKIS,NIKI,11-10-2024,19:40:00,Greek Theatre,"Los Angeles, United States Of America",39.5-99.5 USD,20241011,Los Angeles,United States Of America,37.52,94.52
LOS NIKIS,NIKI,12-10-2024,19:40:00,Greek Theatre,"Los Angeles, United States Of America",39.5-99.5 USD,20241011,Los Angeles,United States Of America,37.52,94.52
Linkin Park,LINKIN PARK: From Zero World Tour,08-11-2024,18:00:00,Globe Life Field,"Arlington, United States Of America",65.5-199.5 USD,20241011,Arlington,United States Of America,62.22,189.52
Linkin Park,Linkin Park By Meteora,11-04-2025,20:00:00,"The Georgian Theatre, Stockton-on-Tees","Stockton-on-Tees, Great Britain",,20241011,Stockton-on-Tees,Great Britain,,
Linkin Park,Boozy Brunch ( LINKIN PARK),13-10-2024,11:00:00,The Winchester,"Lakewood, United States Of America",0.0-0.0 USD,20241011,Lakewood,United States Of America,0.0,0.0
Linkin Park,Hybrid Theory (Linkin Park Tribute),13-11-2024,19:30:00,Northcote Theatre,"Northcote, Australia",,20241011,Northcote,Australia,,
Linkin Park,Hybrid Theory (Linkin Park Tribute),15-11-2024,19:30:00,Northcote Theatre,"Northcote, Australia",,20241011,Northcote,Australia,,
Linkin Park,In the End - Linkin Park Experience,13-10-2024,18:00:00,House of Blues Myrtle Beach,"North Myrtle Beach, United States Of America",17.5-17.5 USD,20241011,North Myrtle Beach,United States Of America,16.62,16.62
Linkin Park,In the End - Linkin Park Experience,24-01-2025,18:00:00,Marquee Theatre,"Tempe, United States Of America",18.0-18.0 USD,20241011,Tempe,United States Of America,17.1,17.1
Linkin Park,In The End - Tribute to Linkin Park,15-11-2024,19:00:00,Riverside Municipal Auditorium,"Riverside, United States Of America",18.0-22.0 USD,20241011,Riverside,United States Of America,17.1,20.9
Linkin Park,In The End - The Linkin Park Experience,11-10-2024,19:00:00,The Masquerade - Hell,"Atlanta, United States Of America",25.0-25.0 USD,20241011,Atlanta,United States Of America,23.75,23.75
Linkin Park,In The End - Linkin Park Experience,10-01-2025,20:00:00,Club LA,"Destin, United States Of America",24.99-38.0 USD,20241011,Destin,United States Of America,23.74,36.1
Linkin Park,In The End: Linkin Park Experience,11-01-2025,20:00:00,Tuffy's Music Box,"Sanford, United States Of America",20.0-20.0 USD,20241011,Sanford,United States Of America,19.0,19.0
Linkin Park,In The End - Linkin Park Experience - BALCONY SECTION,24-01-2025,18:00:00,Marquee Theatre,"Tempe, United States Of America",20.0-25.0 USD,20241011,Tempe,United States Of America,19.0,23.75
