artist,genres,followers,popularity,source_date
El Barrio,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",1248326,63,20241011
Vance Joy,"['folk-pop', 'modern rock']",3169702,77,20241011
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",38146155,88,20241011
Ayra Starr,['afrobeats'],3685293,79,20241011
Madison Beer,['pop'],7075347,75,20241011
24kGoldn,"['cali rap', 'pop rap']",2243020,71,20241011
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14127130,92,20241011
Tiakola,"['french hip hop', 'pop urbaine']",2345961,79,20241011
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",92351724,96,20241011
Rod Wave,['florida rap'],7849822,79,20241011
Hi-Tech,['golden age hip hop'],7787,32,20241011
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12634148,84,20241011
Jazzy Skye,[],31832,38,20241011
IONA,['lo-fi jazzhop'],822,43,20241011
Beyoncé,"['pop', 'r&b']",38706073,87,20241011
Dani Martín,"['spanish pop', 'spanish pop rock']",920025,62,20241011
"Héctor ""El Father""","['reggaeton', 'urbano latino']",835791,67,20241011
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2925517,76,20241011
Airbag,['argentine rock'],863197,69,20241011
Billy Joel,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",6312751,79,20241011
Swallow The Sun,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",147466,43,20241011
Maria Becerra,"['pop argentino', 'urbano latino']",7043819,82,20241011
Mike Tucker,[],306,12,20241011
Roberto Carlos,"['jovem guarda', 'mpb']",5992940,71,20241011
Andrés Koi,[],6485,33,20241011
MAGIC!,"['pop', 'reggae fusion']",1355010,69,20241011
Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",3909724,74,20241011
Chase Atlantic,['alternative r&b'],8194727,82,20241011
Omar Montes,"['flamenco urbano', 'urbano espanol']",809225,74,20241011
Mishaal Tamer,"['lo-fi chill', 'sad lo-fi']",106107,57,20241011
21 Savage,"['atl hip hop', 'hip hop', 'rap']",20236976,89,20241011
Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",35148320,87,20241011
"Tyler, The Creator","['hip hop', 'rap']",16468272,86,20241011
aespa,['k-pop girl group'],6577017,80,20241011
Black Sheep,"['east coast hip hop', 'queens hip hop']",235781,44,20241011
Rakim,['east coast hip hop'],924238,59,20241011
Kelsea Ballerini,"['contemporary country', 'country']",1200297,70,20241011
John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",7056037,77,20241011
Eric B. & Rakim,"['bboy', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop']",688896,53,20241011
ARCO,[],298,8,20241011
Snow Strippers,['cloud rap'],111160,64,20241011
Pink Martini,['lounge'],413471,59,20241011
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",4197493,88,20241011
Naughty By Nature,"['east coast hip hop', 'hip hop', 'new jersey rap']",1181875,61,20241011
Justin Timberlake,"['dance pop', 'pop']",14578122,83,20241011
Carbonne,[],150994,65,20241011
Marlon Craft,['nyc rap'],172437,58,20241011
De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",1040247,61,20241011
Too $hort,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']",1583210,63,20241011
C4C,"['chillhop', 'lo-fi beats']",12797,51,20241011
Regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']",260974,69,20241011
KARINA,[],198549,42,20241011
Coldplay,"['permanent wave', 'pop']",53890376,92,20241011
Ana Mena,['spanish pop'],945548,70,20241011
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8099720,76,20241011
BANKS,"['art pop', 'electropop', 'indie poptimism', 'indietronica', 'shimmer pop']",1062743,58,20241011
Dinosaur Jr.,"['alternative rock', 'lo-fi', 'noise pop', 'noise rock', 'permanent wave', 'power pop', 'shoegaze', 'slacker rock']",549797,52,20241011
R. City,"['reggae fusion', 'virgin islands reggae']",170062,63,20241011
Conrad Sewell,['australian pop'],114972,63,20241011
Ziak,"['drill francais', 'french hip hop', 'pop urbaine']",1090369,63,20241011
Jorja Smith,"['r&b', 'uk contemporary r&b']",3477744,74,20241011
Rosendo Cantú Y Sus Comandantes De China,[],3523,23,20241011
Nile Rodgers,['disco'],150083,74,20241011
Elyanna,['palestinian pop'],215206,72,20241011
KIDDO,['scandipop'],28358,61,20241011
Jain,['french pop'],968415,64,20241011
DCS,"['dominican pop', 'electro bailando', 'electro latino']",61509,45,20241011
La Frontera,"['spanish new wave', 'spanish pop']",95466,43,20241011
Dirty Porko,"['rap espanol', 'spanish hip hop', 'urbano espanol']",63320,47,20241011
Xzibit,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",2100315,67,20241011
Dua Lipa,"['dance pop', 'pop', 'uk pop']",44795715,88,20241011
Ramos.,[],12105,58,20241011
Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']",7683360,81,20241011
Digable Planets,"['afrofuturism', 'east coast hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",439598,53,20241011
Imagine Dragons,"['modern rock', 'pop', 'rock']",54802787,89,20241011
El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",3669952,79,20241011
Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",11894760,90,20241011
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",359954,55,20241011
Jacob Forever,"['cubaton', 'reparto']",199703,58,20241011
The Cranberries,"['irish rock', 'pop rock', 'rock']",4548141,78,20241011
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",116408993,89,20241011
Yann Tiersen,"['compositional ambient', 'french soundtrack']",1051001,66,20241011
Slow J,['hip hop tuga'],232771,59,20241011
MC Rick,"['funk bh', 'funk carioca', 'funk mtg']",1535050,70,20241011
Olly Murs,"['dance pop', 'pop', 'talent show', 'uk pop']",3206191,66,20241011
Myles Smith,['singer-songwriter pop'],736021,79,20241011
Parliament,"['afrofuturism', 'classic soul', 'funk', 'funk rock', 'p funk', 'soul']",799721,51,20241011
Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",16677086,89,20241011
Miguel,"['r&b', 'urban contemporary']",5294396,80,20241011
Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",3047076,76,20241011
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7913308,87,20241011
Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",13383851,82,20241011
Mägo de Oz,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",4348414,70,20241011
Isaac Delusion,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",121113,53,20241011
SCH,"['french hip hop', 'pop urbaine', 'rap marseille']",2342191,73,20241011
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7753869,80,20241011
BM,[],83064,42,20241011
Souls Of Mischief,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']",334226,55,20241011
Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",11139356,79,20241011
Mister V,"['french hip hop', 'pop urbaine', 'rap francais']",588694,53,20241011
Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3733408,74,20241011
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",12673239,84,20241011
Crystal Fighters,['shimmer pop'],351558,51,20241011
Martin Kohlstedt,['neo-classical'],49328,44,20241011
Lacrim,"['arabic hip hop', 'french hip hop', 'pop urbaine']",2563049,71,20241011
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",34828695,88,20241011
Ja Rule,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",1933510,70,20241011
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",3843913,75,20241011
Sam Smith,"['pop', 'uk pop']",24372250,84,20241011
Outlawz,['gangster rap'],314969,67,20241011
Gracie Abrams,['alt z'],2619653,85,20241011
Alex Margo,[],1461,31,20241011
Baby Queen,['modern alternative pop'],130295,51,20241011
Stevie Wonder,"['motown', 'soul']",6609190,76,20241011
Ken-Y,['reggaeton'],360294,65,20241011
Bradley Simpson,[],24960,40,20241011
Sátyr,"['lo-fi beats', 'lo-fi jazzhop', 'lo-fi study']",5060,54,20241011
Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",413974,66,20241011
Morad,"['drill espanol', 'urbano espanol']",3534774,80,20241011
Cruza,['indie r&b'],46346,55,20241011
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7494388,79,20241011
María Escarmiento,['latin talent show'],49097,46,20241011
keshi,['chill r&b'],3735572,79,20241011
Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",7759876,79,20241011
Living Room,"['lo-fi jazzhop', 'lo-fi study']",16156,55,20241011
High John,"['lo-fi beats', 'lo-fi jazzhop']",6148,47,20241011
cassö,"['hypertechno', 'pop dance']",71668,70,20241011
Backstreet Boys,"['boy band', 'dance pop', 'pop']",5907020,78,20241011
The Kid LAROI,['australian hip hop'],5726013,85,20241011
Alphaville,"['new romantic', 'new wave pop', 'synthpop']",914487,73,20241011
Angèle,"['belgian pop', 'french pop', 'variete francaise']",2735144,68,20241011
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",5531246,76,20241011
Chris Brown,"['r&b', 'rap']",23580562,88,20241011
Alan Walker,['electro house'],39549165,82,20241011
Travis Scott,"['rap', 'slap house']",33496934,94,20241011
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8095997,87,20241011
Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2437437,71,20241011
Emma Nissen,[],74420,50,20241011
David Gilmour,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']",1936477,65,20241011
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28610194,84,20241011
Nil Moliner,['spanish pop'],253484,63,20241011
Laylow,"['cloud rap francais', 'french hip hop', 'pop urbaine']",806324,68,20241011
Shaboozey,"['modern country pop', 'pop rap']",709153,81,20241011
Leon Thomas,['indie r&b'],182765,65,20241011
Zach Bryan,['classic oklahoma country'],5242496,91,20241011
Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",9110727,74,20241011
Niños Mutantes,"['granada indie', 'musica para ninos', 'spanish indie pop', 'spanish modern rock']",91109,43,20241011
Fuego,"['electro latino', 'rap dominicano', 'trap latino']",275242,63,20241011
LISA,['k-pop'],9112952,82,20241011
AC/DC,"['australian rock', 'hard rock', 'rock']",29536730,84,20241011
iann dior,['melodic rap'],1863098,72,20241011
Dasha,[],233684,76,20241011
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",92432769,96,20241011
Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",1714489,63,20241011
The Alchemist,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",733717,73,20241011
Billy Ray Cyrus,['country rock'],253539,63,20241011
GAIA,"['trance', 'uplifting trance']",104167,52,20241011
Melanie Martinez,"['alt z', 'electropop', 'pop']",21367455,80,20241011
Roxette,"['europop', 'swedish pop', 'synthpop']",2345711,74,20241011
Dedublüman,['turkce slow sarkilar'],1525754,72,20241011
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",33825642,84,20241011
Sonny Fodera,"['house', 'pop dance', 'uk dance']",217860,70,20241011
Billie Eilish,"['art pop', 'pop']",100485485,96,20241011
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22883431,87,20241011
Sammy Rae & The Friends,['nyc pop'],205612,57,20241011
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",3076084,74,20241011
Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']",3087330,74,20241011
Tommy Richman,['chill abstract hip hop'],726230,80,20241011
ANNA,"['italian hip hop', 'italian pop']",1061718,77,20241011
NLE Choppa,"['memphis hip hop', 'rap']",8666705,79,20241011
Gigi Perez,['bedroom pop'],298723,77,20241011
OBOY,"['french hip hop', 'pop urbaine', 'rap francais']",935466,69,20241011
ECKO,"['argentine hip hop', 'trap argentino']",1309496,67,20241011
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",4905498,80,20241011
Omega,['rap dominicano'],240940,64,20241011
Andrés Calamaro,"['argentine rock', 'cantautor', 'latin alternative', 'pop argentino', 'rock en espanol']",2568954,72,20241011
Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",7577221,80,20241011
Massive Attack,"['downtempo', 'electronica', 'trip hop']",2291102,68,20241011
Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']",4367664,80,20241011
Kacey Musgraves,"['classic texas country', 'contemporary country', 'country dawn']",1481767,78,20241011
The Vaccines,"['british indie rock', 'garage rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",785564,58,20241011
Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']",2807554,63,20241011
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",642118,59,20241011
Laura Pausini,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']",2609369,73,20241011
D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",90893,70,20241011
Leño,"['cantautor', 'spanish new wave', 'spanish punk']",125571,42,20241011
Casey MQ,['bubblegum bass'],8283,35,20241011
Djadja & Dinaz,"['french hip hop', 'pop urbaine', 'rap conscient']",2848888,69,20241011
ERNEST,['modern country pop'],193676,73,20241011
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",7510118,85,20241011
Dei V,"['trap latino', 'urbano latino']",1340740,82,20241011
Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7453959,76,20241011
Cardi B,"['pop', 'rap']",24510799,81,20241011
Keinemusik,['melodic house'],318338,77,20241011
Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']",5348498,81,20241011
Luke Combs,"['contemporary country', 'country']",11500891,88,20241011
Jordan Adetunji,['irish hip hop'],168206,74,20241011
Tequila Tequila,[],91,0,20241011
Daya,"['alt z', 'pop']",1669472,72,20241011
ELENA ROSE,['r&b en espanol'],127161,71,20241011
Ryan Castro,"['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",3042061,79,20241011
FT Kings,[],16823,66,20241011
Meghan Trainor,"['hip pop', 'pop']",15386185,80,20241011
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",7401662,78,20241011
Deadletter,[],14,0,20241011
Mark Ambor,['singer-songwriter pop'],505677,76,20241011
Polo G,"['chicago rap', 'rap']",11846932,81,20241011
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14052716,84,20241011
Morgan Wallen,['contemporary country'],10810229,91,20241011
Bresh,"['italian hip hop', 'italian pop', 'rap genovese']",268791,69,20241011
Prototype,['rap francais'],53504,59,20241011
Chimbala,"['dembow', 'rap dominicano']",639664,70,20241011
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",15646318,85,20241011
Don Toliver,['rap'],5037087,87,20241011
The Chainsmokers,['pop'],20518376,83,20241011
KADI,[],38777,48,20241011
Patti LaBelle,"['contemporary r&b', 'philly soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",1017857,53,20241011
Taylor Swift,['pop'],123220924,100,20241011
Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",439863,69,20241011
Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11250928,82,20241011
Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",6572032,84,20241011
Key-Key,['raspe'],37480,66,20241011
Peso Pluma,"['corridos tumbados', 'sad sierreno']",16533607,93,20241011
Miley Cyrus,['pop'],24833068,84,20241011
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26270443,90,20241011
Blessd,"['reggaeton', 'urbano latino']",5055818,82,20241011
Milo j,"['trap argentino', 'trap latino', 'urbano latino']",4807524,83,20241011
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']",4903889,73,20241011
W Sound,[],93557,64,20241011
Kelly Clarkson,"['dance pop', 'pop', 'talent show']",10588683,74,20241011
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",15108650,79,20241011
Hamza,"['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge']",1366589,74,20241011
LeToya Luckett,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",457484,30,20241011
UZI,"['turkish hip hop', 'turkish trap']",5153217,72,20241011
Camp Lo,"['bronx hip hop', 'east coast hip hop', 'jazz rap']",160518,44,20241011
Fontaines D.C.,"['crank wave', 'irish indie rock', 'irish post-punk']",637871,72,20241011
Marcus King,"['modern blues', 'modern blues rock']",263658,57,20241011
Luísa Sonza,"['funk carioca', 'pop nacional']",6077243,77,20241011
Teddy Swims,[],3138526,86,20241011
DJ Nelson,"['reggaeton', 'urbano latino']",1158704,73,20241011
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",63038925,92,20241011
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",86136688,95,20241011
Duncan Dhu,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",808189,63,20241011
Plan B,"['reggaeton', 'trap latino', 'urbano latino']",5025605,81,20241011
nimino,['melodic house'],84945,66,20241011
IAMX,"['indietronica', 'industrial pop']",201379,51,20241011
Fran C,['reggaeton chileno'],106704,64,20241011
RAYE,"['uk contemporary r&b', 'uk pop']",1678237,78,20241011
L.V.,[],39705,70,20241011
Chayanne,"['latin pop', 'puerto rican pop']",8248195,76,20241011
Lynda Carter,[],9094,39,20241011
Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",1770106,74,20241011
JHAYCO,"['reggaeton', 'trap latino', 'urbano latino']",8099506,84,20241011
Grandmaster Melle Mel,"['bronx hip hop', 'east coast hip hop', 'old school hip hop']",71611,51,20241011
